run_id	n_train	n_val	n_test
rep01-baseline	6244	1522	810
rep01-adapt01	361	99	624
rep01-adapt02	378	82	624
rep01-adapt03	379	81	624
rep01-adapt04	363	97	624
rep01-adapt05	379	80	624
rep02-baseline	6178	1522	876
rep02-adapt01	361	99	624
rep02-adapt02	378	82	624
rep02-adapt03	379	81	624
rep02-adapt04	363	97	624
rep02-adapt05	379	80	624
rep03-baseline	6245	1522	809
rep03-adapt01	361	99	624
rep03-adapt02	378	82	624
rep03-adapt03	379	81	624
rep03-adapt04	363	97	624
rep03-adapt05	379	80	624
rep04-baseline	6108	1572	896
rep04-adapt01	361	99	624
rep04-adapt02	378	82	624
rep04-adapt03	379	81	624
rep04-adapt04	363	97	624
rep04-adapt05	379	80	624
rep05-baseline	6125	1572	879
rep05-adapt01	361	99	624
rep05-adapt02	378	82	624
rep05-adapt03	379	81	624
rep05-adapt04	363	97	624
rep05-adapt05	379	80	624
